insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (1, 'bulbasaur', 'grass', 'poison', 87.5, 10, null, null, 45, 49, 49, 65, 65, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (14, 'kakuna', 'bug', 'poison', '50', 20, null, null, 45, 25, 50, 25, 25, 35);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (15, 'beedrill', 'bug', 'poison', '50', 20, null, null, 65, 90, 40, 45, 80, 75);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (16, 'pidgey', 'normal', 'flying', '50', 10, null, null, 40, 45, 40, 35, 35, 56);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (17, 'pidgeotto', 'normal', 'flying', '50', 10, null, null, 63, 60, 55, 50, 50, 71);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (18, 'pidgeot', 'normal', 'flying', '50', 10, null, null, 83, 80, 75, 70, 70, 101);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (19, 'rattata', 'normal', null, '50', 20, null, null, 30, 56, 35, 25, 35, 72);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (20, 'raticate', 'normal', null, '50', 20, null, null, 55, 81, 60, 50, 70, 97);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (21, 'spearow', 'normal', 'flying', '50', 20, null, null, 40, 60, 30, 31, 31, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (22, 'fearow', 'normal', 'flying', '50', 20, null, null, 65, 90, 65, 61, 61, 100);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (23, 'ekans', 'poison', null, '50', 20, null, null, 35, 60, 44, 40, 54, 55);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (24, 'arbok', 'poison', null, '50', 20, null, null, 60, 85, 69, 65, 79, 80);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (27, 'sandshrew', 'ground', null, '50', 20, null, null, 50, 75, 85, 20, 30, 40);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (28, 'sandslash', 'ground', null, '50', 20, null, null, 75, 100, 110, 45, 55, 65);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (31, 'nidoqueen', 'poison', 'ground', '0', 10, null, null, 90, 92, 87, 75, 85, 76);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (34, 'nidoking', 'poison', 'ground', '100', 10, null, null, 81, 102, 77, 85, 75, 85);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (35, 'clefairy', 'fairy', null, '25', 30, null, null, 70, 45, 48, 60, 65, 35);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (36, 'clefable', 'fairy', null, '25', 30, null, null, 95, 70, 73, 95, 90, 60);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (37, 'vulpix', 'fire', null, '25', 20, null, null, 38, 41, 40, 50, 65, 65);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (38, 'ninetales', 'fire', null, '25', 20, null, null, 73, 76, 75, 81, 100, 100);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (39, 'jigglypuff', 'normal', 'fairy', '25', 30, null, null, 115, 45, 20, 45, 25, 20);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (40, 'wigglytuff', 'normal', 'fairy', '25', 30, null, null, 140, 70, 45, 85, 50, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (41, 'zubat', 'poison', 'flying', '50', 20, null, null, 40, 45, 35, 30, 40, 55);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (42, 'golbat', 'poison', 'flying', '50', 20, null, null, 75, 80, 70, 65, 75, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (43, 'oddish', 'grass', 'poison', '50', 10, null, null, 45, 50, 55, 75, 65, 30);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (44, 'gloom', 'grass', 'poison', '50', 10, null, null, 60, 65, 70, 85, 75, 40);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (45, 'vileplume', 'grass', 'poison', '50', 10, null, null, 75, 80, 85, 110, 90, 50);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (46, 'paras', 'bug', 'grass', '50', 20, null, null, 35, 70, 55, 45, 55, 25);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (47, 'parasect', 'bug', 'grass', '50', 20, null, null, 60, 95, 80, 60, 80, 30);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (48, 'venonat', 'bug', 'poison', '50', 20, null, null, 60, 55, 50, 40, 55, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (49, 'venomoth', 'bug', 'poison', '50', 20, null, null, 70, 65, 60, 90, 75, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (50, 'diglett', 'ground', null, '50', 20, null, null, 10, 55, 25, 35, 45, 95);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (51, 'dugtrio', 'ground', null, '50', 20, null, null, 35, 80, 50, 50, 70, 120);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (52, 'meowth', 'normal', null, '50', 20, null, null, 40, 45, 35, 40, 40, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (53, 'persian', 'normal', null, '50', 20, null, null, 65, 70, 60, 65, 65, 115);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (54, 'psyduck', 'water', null, '50', 20, null, null, 50, 52, 48, 65, 50, 55);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (55, 'golduck', 'water', null, '50', 20, null, null, 80, 82, 78, 95, 80, 85);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (56, 'mankey', 'fighting', null, '50', 20, null, null, 40, 80, 35, 35, 45, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (57, 'primeape', 'fighting', null, '50', 20, null, null, 65, 105, 60, 60, 70, 95);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (58, 'growlithe', 'fire', null, '75', 0, null, null, 55, 70, 45, 70, 50, 60);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (59, 'arcanine', 'fire', null, '75', 0, null, null, 90, 110, 80, 100, 80, 95);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (60, 'poliwag', 'water', null, '50', 10, null, null, 40, 50, 40, 40, 40, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (61, 'poliwhirl', 'water', null, '50', 10, null, null, 65, 65, 65, 50, 50, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (62, 'poliwrath', 'water', 'fighting', '50', 10, null, null, 90, 95, 95, 70, 90, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (63, 'abra', 'psychic', null, '75', 10, null, null, 25, 20, 15, 105, 55, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (64, 'kadabra', 'psychic', null, '75', 10, null, null, 40, 35, 30, 120, 70, 105);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (65, 'alakazam', 'psychic', null, '75', 10, null, null, 55, 50, 45, 135, 95, 120);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (66, 'machop', 'fighting', null, '75', 10, null, null, 70, 80, 50, 35, 35, 35);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (67, 'machoke', 'fighting', null, '75', 10, null, null, 80, 100, 70, 50, 60, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (68, 'machamp', 'fighting', null, '75', 10, null, null, 90, 130, 80, 65, 85, 55);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (69, 'bellsprout', 'grass', 'poison', '50', 10, null, null, 50, 75, 35, 70, 30, 40);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (70, 'weepinbell', 'grass', 'poison', '50', 10, null, null, 65, 90, 50, 85, 45, 55);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (71, 'victreebel', 'grass', 'poison', '50', 10, null, null, 80, 105, 65, 100, 70, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (72, 'tentacool', 'water', 'poison', '50', 0, null, null, 40, 40, 35, 50, 100, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (73, 'tentacruel', 'water', 'poison', '50', 0, null, null, 80, 70, 65, 80, 120, 100);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (74, 'geodude', 'rock', 'ground', '50', 10, null, null, 40, 80, 100, 30, 30, 20);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (75, 'graveler', 'rock', 'ground', '50', 10, null, null, 55, 95, 115, 45, 45, 35);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (76, 'golem', 'rock', 'ground', '50', 10, null, null, 80, 120, 130, 55, 65, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (77, 'ponyta', 'fire', null, '50', 20, null, null, 50, 85, 55, 65, 65, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (78, 'rapidash', 'fire', null, '50', 20, null, null, 65, 100, 70, 80, 80, 105);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (79, 'slowpoke', 'water', 'psychic', '50', 20, null, null, 90, 65, 65, 40, 40, 15);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (80, 'slowbro', 'water', 'psychic', '50', 20, null, null, 95, 75, 110, 100, 80, 30);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (84, 'doduo', 'normal', 'flying', '50', 20, null, null, 35, 85, 45, 35, 35, 75);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (85, 'dodrio', 'normal', 'flying', '50', 20, null, null, 60, 110, 70, 60, 60, 100);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (86, 'seel', 'water', null, '50', 20, null, null, 65, 45, 55, 45, 70, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (87, 'dewgong', 'water', 'ice', '50', 20, null, null, 90, 70, 80, 70, 95, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (88, 'grimer', 'poison', null, '50', 20, null, null, 80, 80, 50, 40, 50, 25);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (89, 'muk', 'poison', null, '50', 20, null, null, 105, 105, 75, 65, 100, 50);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (90, 'shellder', 'water', null, '50', 0, null, null, 30, 65, 100, 45, 25, 40);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (91, 'cloyster', 'water', 'ice', '50', 0, null, null, 50, 95, 180, 85, 45, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (92, 'gastly', 'ghost', 'poison', '50', 10, null, null, 30, 35, 30, 100, 35, 80);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (93, 'haunter', 'ghost', 'poison', '50', 10, null, null, 45, 50, 45, 115, 55, 95);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (94, 'gengar', 'ghost', 'poison', '50', 10, null, null, 60, 65, 60, 130, 75, 110);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (95, 'onix', 'rock', 'ground', '50', 20, null, null, 35, 45, 160, 30, 45, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (96, 'drowzee', 'psychic', null, '50', 20, null, null, 60, 48, 45, 43, 90, 42);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (97, 'hypno', 'psychic', null, '50', 20, null, null, 85, 73, 70, 73, 115, 67);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (98, 'krabby', 'water', null, '50', 20, null, null, 30, 105, 90, 25, 25, 50);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (99, 'kingler', 'water', null, '50', 20, null, null, 55, 130, 115, 50, 50, 75);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (102, 'exeggcute', 'grass', 'psychic', '50', 0, null, null, 60, 40, 80, 60, 45, 40);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (103, 'exeggutor', 'grass', 'psychic', '50', 0, null, null, 95, 95, 85, 125, 65, 55);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (104, 'cubone', 'ground', null, '50', 20, null, null, 50, 50, 95, 40, 50, 35);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (105, 'marowak', 'ground', null, '50', 20, null, null, 60, 80, 110, 50, 80, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (106, 'hitmonlee', 'fighting', null, '100', 20, null, null, 50, 120, 53, 35, 110, 87);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (107, 'hitmonchan', 'fighting', null, '100', 20, null, null, 50, 105, 79, 35, 110, 76);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (108, 'lickitung', 'normal', null, '50', 20, null, null, 90, 55, 75, 60, 75, 30);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (109, 'koffing', 'poison', null, '50', 20, null, null, 40, 65, 95, 60, 45, 35);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (110, 'weezing', 'poison', null, '50', 20, null, null, 65, 90, 120, 85, 70, 60);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (111, 'rhyhorn', 'ground', 'rock', '50', 0, null, null, 80, 85, 95, 30, 30, 25);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (112, 'rhydon', 'ground', 'rock', '50', 0, null, null, 105, 130, 120, 45, 45, 40);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (113, 'chansey', 'normal', null, '0', 30, null, null, 250, 5, 5, 35, 105, 50);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (114, 'tangela', 'grass', null, '50', 20, null, null, 65, 55, 115, 100, 40, 60);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (115, 'kangaskhan', 'normal', null, '0', 20, null, null, 105, 95, 80, 40, 80, 90);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (116, 'horsea', 'water', null, '50', 20, null, null, 30, 40, 70, 70, 25, 60);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (117, 'seadra', 'water', null, '50', 20, null, null, 55, 65, 95, 95, 45, 85);
